,Beijing,Cape Town,Hong Kong,Honolulu,London,Melbourne,Mexico,Montreal,Moscow,New Delhi,New York,Paris,Rio de Janeiro,Rome,San Francisco,Singapore,Stockholm,Tokyo
Beijing,0,,,,,,,,,,,,,,,,,
Cape Town,12947,0,,,,,,,,,,,,,,,,
Hong Kong,1972,11867,0,,,,,,,,,,,,,,,
Honolulu,8171,18562,8945,0,,,,,,,,,,,,,,
London,8160,9635,9646,11653,0,,,,,,,,,,,,,
Melbourne,9093,10338,7392,8862,16902,0,,,,,,,,,,,,
Mexico,12478,13703,14155,6098,8947,13557,0,,,,,,,,,,,
Montreal,10490,12744,12462,7915,5240,16730,3730,0,,,,,,,,,,
Moscow,5809,10101,7158,11342,2506,14418,10719,7053,0,,,,,,,,,
New Delhi,3788,9284,3770,11930,6724,10192,14656,11257,4341,0,,,,,,,,
New York,11012,12551,12984,7996,5586,16671,3359,534,7510,11753,0,,,,,,,
Paris,8236,9307,9650,11988,341,16793,9196,5503,2486,6585,5837,0,,,,,,
Rio de Janeiro,17325,6075,17710,13343,9254,13227,7682,8203,11543,14072,7758,9167,0,,,,,
Rome,8144,8417,9300,12936,1434,15987,10240,6581,2376,5916,6890,1106,9197,0,,,,
San Francisco,9524,16487,11121,3857,8640,12644,3037,4085,9443,12352,4128,8952,10661,10048,0,,,
Singapore,4465,9671,2575,10824,10860,6050,16609,14805,8428,4150,15339,10736,15721,10024,13584,0,,
Stockholm,6725,10334,8243,11059,1436,15593,9584,5879,1227,5568,6319,1543,10701,1977,8620,9645,0,
Tokyo,2104,14737,2893,6208,9585,8159,11301,10387,7481,5840,10846,9714,18565,9857,8266,5322,8171,0
